è¨ëqÇÃì`î¿ëπé∏ÉfÅ[É^,,,,H30.6.15,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ç¿ïWx,ç¿ïWy,"ì`î¿ëπé∏
Loss",ìπòHÇ…âàÇ¡ÇΩãóó£,ëóéÛêMä‘ãóó£,ìπòHïù,ìπòHäp,ÉRÅ[ÉXñº,,,
[m],[m],[dB],[m],[m],[m],[Åã],,,,
-38.9,-110.0,120.1,240,366.8,40,37.2,áB,,,
-40.8,-119.8,123.1,250,374.9,40,36.3,áB,,,
-42.8,-129.6,129.4,260,383.0,40,35.4,áB,,,
-44.7,-139.5,125.6,270,391.1,40,34.6,áB,,,
-46.7,-149.3,130.3,280,399.4,40,33.8,áB,,,
-48.6,-159.1,130.0,290,407.8,40,33.0,áB,,,
-50.6,-168.9,127.3,300,416.2,40,32.2,áB,,,
-52.5,-178.7,130.9,310,424.7,40,31.5,áB,,,
-54.5,-188.5,130.3,320,433.2,40,30.8,áB,,,
-56.4,-198.3,132.4,330,441.9,40,30.2,áB,,,
-58.4,-208.1,133.4,340,450.5,40,29.5,áB,,,
-60.3,-217.9,132.4,350,459.3,40,28.9,áB,,,
-62.3,-227.7,131.0,360,468.0,40,28.3,áB,,,
-64.2,-237.5,130.4,370,476.9,40,27.7,áB,,,
-66.2,-247.3,128.2,380,485.7,40,27.2,áB,,,
-68.2,-257.1,130.4,390,494.7,40,26.7,áB,,,
-70.1,-267.0,129.2,400,503.6,40,26.2,áB,,,
-72.1,-276.8,128.6,410,512.6,40,25.7,áB,,,
-74.0,-286.6,128.2,420,521.6,40,25.2,áB,,,
-76.0,-296.4,128.0,430,530.7,40,24.7,áB,,,
-77.9,-306.2,129.2,440,539.8,40,24.3,áB,,,
-79.9,-316.0,127.7,450,548.9,40,23.9,áB,,,
-84.5,-334.2,130.5,460,565.8,40,34.8,áB,,,
-88.5,-343.4,131.1,470,574.0,40,34.3,áB,,,
-92.4,-352.6,132.4,480,582.3,40,33.7,áB,,,
-96.3,-361.8,133.0,490,590.7,40,33.2,áB,,,
-100.2,-371.0,129.1,500,599.1,40,32.6,áB,,,
-104.2,-380.2,132.0,510,607.5,40,32.1,áB,,,
217.3,-467.6,139.8,10,803.9,25,43.2,áC,,,
219.4,-457.8,138.0,20,796.6,25,43.7,áC,,,
221.5,-448.1,137.0,30,789.4,25,44.2,áC,,,
223.5,-438.3,134.7,40,782.3,25,44.7,áC,,,
225.6,-428.5,132.8,50,775.2,25,45.3,áC,,,
227.7,-418.7,133.5,60,768.2,25,45.8,áC,,,
229.8,-408.9,133.5,70,761.3,25,46.3,áC,,,
231.9,-399.1,131.7,80,754.4,25,46.9,áC,,,
233.9,-389.4,132.5,90,747.6,25,47.4,áC,,,
236.0,-379.6,132.6,100,740.9,25,48.0,áC,,,
238.1,-369.8,131.4,110,734.2,25,48.6,áC,,,
240.2,-360.0,133.3,120,727.7,25,49.2,áC,,,
242.3,-350.2,137.6,130,721.2,25,49.8,áC,,,
244.3,-340.5,138.4,140,714.7,25,50.4,áC,,,
246.4,-330.7,137.6,150,708.4,25,51.0,áC,,,
248.5,-320.9,139.4,160,702.2,25,51.6,áC,,,
250.6,-311.1,140.0,170,696.0,25,52.3,áC,,,
252.6,-301.3,140.7,180,689.9,25,53.0,áC,,,
254.7,-291.5,139.0,190,683.9,25,53.6,áC,,,
256.8,-281.8,137.1,200,678.1,25,54.3,áC,,,
258.9,-272.0,138.0,210,672.3,25,55.0,áC,,,
261.0,-262.2,137.2,220,666.6,25,55.7,áC,,,
263.0,-252.4,135.3,230,661.0,25,56.4,áC,,,
265.1,-242.6,133.0,240,655.5,25,57.1,áC,,,
267.2,-232.9,131.6,250,650.2,25,57.9,áC,,,
269.3,-223.1,133.8,260,644.9,25,58.6,áC,,,
271.4,-213.3,134.6,270,639.7,25,59.4,áC,,,
273.4,-203.5,134.4,280,634.7,25,60.2,áC,,,
275.5,-193.7,135.7,290,629.8,25,61.0,áC,,,
277.6,-184.0,133.3,300,625.0,25,61.8,áC,,,
279.7,-174.2,133.7,310,620.3,25,62.6,áC,,,
281.7,-164.4,134.3,320,615.8,25,63.4,áC,,,
283.8,-154.6,125.3,330,611.4,25,64.2,áC,,,
285.9,-144.8,126.2,340,607.1,25,65.1,áC,,,
288.0,-135.0,130.6,350,603.0,25,66.0,áC,,,
290.1,-125.3,132.4,360,599.0,25,66.8,áC,,,
292.1,-115.5,134.4,370,595.1,25,67.7,áC,,,
294.2,-105.7,132.4,380,591.4,25,68.6,áC,,,
296.3,-95.9,132.2,390,587.8,25,69.5,áC,,,
298.4,-86.1,131.9,400,584.4,25,70.4,áC,,,
300.5,-76.4,129.3,410,581.1,25,71.4,áC,,,
302.5,-66.6,128.6,420,578.0,25,72.3,áC,,,
304.6,-56.8,127.7,430,575.0,25,73.3,áC,,,
306.7,-47.0,128.3,440,572.2,25,74.2,áC,,,
308.8,-37.2,130.2,450,569.6,25,75.2,áC,,,
310.9,-27.4,129.6,460,567.1,25,76.2,áC,,,
312.9,-17.7,132.0,470,564.8,25,77.1,áC,,,
315.0,-7.9,132.2,480,562.7,25,78.1,áC,,,
317.1,1.9,131.9,490,560.7,25,79.1,áC,,,
319.2,11.7,132.8,500,558.9,25,80.1,áC,,,
321.2,21.5,130.9,510,557.3,25,81.2,áC,,,
323.3,31.2,128.2,520,555.8,25,82.2,áC,,,
461.3,22.1,123.1,10,689.8,15,6.7,áD,,,
452.1,26.1,123.0,20,679.9,15,6.8,áD,,,
443.0,30.1,124.9,30,669.9,15,6.9,áD,,,
433.8,34.0,126.1,40,660.0,15,7.0,áD,,,
422.6,37.9,121.7,50,648.2,15,3.7,áD,,,
412.8,40.0,125.2,60,638.2,15,3.8,áD,,,
403.0,42.2,128.2,70,628.2,15,3.8,áD,,,
393.3,44.4,125.8,80,618.2,15,3.9,áD,,,
383.5,46.6,126.8,90,608.2,15,3.9,áD,,,
373.8,48.8,120.8,100,598.3,15,4.0,áD,,,
364.0,51.0,123.7,110,588.3,15,4.1,áD,,,
354.3,53.1,119.5,120,578.3,15,4.1,áD,,,
344.5,55.3,117.3,130,568.3,15,4.2,áD,,,
334.7,57.5,121.5,140,558.4,15,4.3,áD,,,
325.0,59.7,122.0,150,548.4,15,4.4,áD,,,
315.2,61.9,122.0,160,538.4,15,4.5,áD,,,
305.5,64.0,122.5,170,528.5,15,4.5,áD,,,
295.7,66.2,119.1,180,518.5,15,4.6,áD,,,
285.9,68.4,117.5,190,508.5,15,4.7,áD,,,
276.2,70.6,112.7,200,498.6,15,4.8,áD,,,
266.4,72.8,114.0,210,488.6,15,4.9,áD,,,
256.7,74.9,117.0,220,478.6,15,5.0,áD,,,
246.9,77.1,117.5,230,468.7,15,5.1,áD,,,
237.1,79.3,114.8,240,458.7,15,5.2,áD,,,
227.4,81.5,115.7,250,448.8,15,5.3,áD,,,
217.6,83.7,118.2,260,438.8,15,5.5,áD,,,
207.9,85.8,116.4,270,428.8,15,5.6,áD,,,
198.1,88.0,116.7,280,418.9,15,5.7,áD,,,
188.3,90.2,122.0,290,408.9,35,5.9,áD,,,
178.6,92.4,116.7,300,399.0,35,6.0,áD,,,
168.8,94.6,115.0,310,389.1,35,6.2,áD,,,
159.1,96.8,114.8,320,379.1,35,6.3,áD,,,
149.3,98.9,117.2,330,369.2,35,6.5,áD,,,
139.5,101.1,116.4,340,359.2,35,6.7,áD,,,
129.8,103.3,112.2,350,349.3,35,6.9,áD,,,
120.0,105.5,114.1,360,339.4,35,7.1,áD,,,
110.3,107.7,115.3,370,329.5,35,7.3,áD,,,
100.5,109.8,114.7,380,319.6,35,7.5,áD,,,
90.7,112.0,113.9,390,309.6,35,7.8,áD,,,
81.0,114.2,114.0,400,299.7,35,8.0,áD,,,
71.2,116.4,113.0,410,289.8,35,8.3,áD,,,
61.5,118.6,113.1,420,279.9,35,8.6,áD,,,
51.7,120.7,112.7,430,270.1,35,8.9,áD,,,
42.0,122.9,111.7,440,260.2,35,9.2,áD,,,
32.2,125.1,112.8,450,250.3,35,9.6,áD,,,
98.6,-84.7,125.3,10,426.1,11,55.9,áE,,,
100.6,-74.9,125.3,20,420.6,11,57.0,áE,,,
102.6,-65.1,123.1,30,415.2,11,58.1,áE,,,
104.6,-55.3,119.7,40,410.0,11,59.3,áE,,,
106.5,-45.5,118.8,50,405.0,11,60.5,áE,,,
108.5,-35.7,118.8,60,400.2,11,61.8,áE,,,
110.5,-25.9,120.1,70,395.6,16,63.1,áE,,,
112.5,-16.1,120.9,80,391.1,16,64.4,áE,,,
114.5,-6.3,123.4,90,386.9,16,65.7,áE,,,
116.5,3.5,125.6,100,382.9,16,67.1,áE,,,
118.5,13.3,124.9,110,379.1,16,68.5,áE,,,
120.4,23.1,122.2,120,375.6,16,69.9,áE,,,
122.4,32.9,122.8,130,372.2,16,71.3,áE,,,
124.4,42.7,122.0,140,369.2,16,72.8,áE,,,
126.4,52.5,121.9,150,366.3,16,74.3,áE,,,
128.4,62.3,120.0,160,363.8,16,75.8,áE,,,
130.4,72.1,116.4,170,361.4,16,77.4,áE,,,
132.4,81.9,114.9,180,359.4,16,78.9,áE,,,
359.6,-159.3,128.6,10,675.6,20,20.7,áF,,,
349.9,-157.0,131.1,20,666.2,20,21.0,áF,,,
340.2,-154.7,129.9,30,656.9,20,21.3,áF,,,
330.4,-152.4,125.1,40,647.6,20,21.6,áF,,,
320.7,-150.1,125.5,50,638.3,20,22.0,áF,,,
311.0,-147.7,128.8,60,629.0,20,22.3,áF,,,
301.3,-145.4,129.5,70,619.8,25,22.7,áF,,,
291.5,-143.1,130.4,80,610.6,25,23.0,áF,,,
281.8,-140.8,132.2,90,601.4,25,23.4,áF,,,
272.1,-138.4,130.0,100,592.2,20,23.8,áF,,,
262.4,-136.1,130.5,110,583.1,20,24.2,áF,,,
252.6,-133.8,129.9,120,574.0,20,24.6,áF,,,
242.9,-131.5,129.1,130,564.9,20,25.0,áF,,,
233.2,-129.2,130.5,140,555.9,20,25.5,áF,,,
223.5,-126.8,126.1,150,546.9,20,25.9,áF,,,
213.7,-124.5,127.3,160,537.9,20,26.4,áF,,,
204.0,-122.2,126.5,170,528.9,20,26.8,áF,,,
194.3,-119.9,125.2,180,520.0,20,27.3,áF,,,
184.5,-117.5,125.6,190,511.2,20,27.9,áF,,,
174.8,-115.2,119.0,200,502.4,20,28.4,áF,,,
165.1,-112.9,116.6,210,493.6,20,28.9,áF,,,
155.4,-110.6,118.0,220,484.9,20,29.5,áF,,,
145.6,-108.3,116.3,230,476.2,20,30.1,áF,,,
135.9,-105.9,119.9,240,467.5,20,30.7,áF,,,
126.2,-103.6,121.9,250,459.0,20,31.4,áF,,,
116.5,-101.3,122.0,260,450.5,20,32.0,áF,,,
106.7,-99.0,122.0,270,442.0,20,32.7,áF,,,
97.0,-96.6,120.8,280,433.6,20,33.4,áF,,,
87.3,-94.3,123.5,290,425.3,20,34.2,áF,,,
77.6,-92.0,124.0,300,417.1,20,34.9,áF,,,
67.8,-89.7,119.7,310,408.9,20,35.7,áF,,,
58.1,-87.4,123.8,320,400.9,20,36.6,áF,,,
48.4,-85.0,118.1,330,392.9,20,37.4,áF,,,
38.6,-82.7,118.0,340,385.0,20,38.4,áF,,,
28.9,-80.4,119.7,350,377.2,20,39.3,áF,,,
19.2,-78.1,116.3,360,369.5,20,40.3,áF,,,
9.5,-75.7,119.9,370,361.9,20,41.3,áF,,,
-0.3,-73.4,120.8,380,354.5,20,42.4,áF,,,
-10.0,-71.1,116.3,390,347.2,40,43.5,áF,,,
-19.7,-68.8,116.4,400,340.0,40,44.6,áF,,,
-29.4,-66.5,116.8,410,332.9,40,45.8,áF,,,
-39.2,-64.1,113.2,420,326.1,40,47.1,áF,,,
-48.9,-61.8,114.5,430,319.3,40,48.4,áF,,,
-58.6,-59.5,118.0,440,312.8,20,49.8,áF,,,
-68.3,-57.2,117.1,450,306.4,20,51.2,áF,,,
-78.1,-54.8,117.2,460,300.3,20,52.7,áF,,,
-87.8,-52.5,115.9,470,294.3,20,54.3,áF,,,
-97.5,-50.2,114.2,480,288.6,20,55.9,áF,,,
-107.3,-47.9,115.4,490,283.1,20,57.5,áF,,,
-117.0,-45.6,117.2,500,277.9,20,59.3,áF,,,
-126.7,-43.2,112.6,510,272.9,20,61.1,áF,,,
-136.4,-40.9,114.5,520,268.2,20,63.0,áF,,,
-146.2,-38.6,113.2,530,263.8,20,64.9,áF,,,
-155.9,-36.3,113.6,540,259.7,20,66.9,áF,,,
-165.6,-33.9,111.3,550,256.0,20,69.0,áF,,,
-175.3,-31.6,109.3,560,252.5,20,71.1,áF,,,
-185.1,-29.3,104.3,570,249.5,20,73.2,áF,,,
-194.8,-27.0,107.8,580,246.8,20,75.5,áF,,,
-204.5,-24.7,106.2,590,244.5,20,77.7,áF,,,
-214.2,-22.3,105.0,600,242.5,20,80.0,áF,,,
-224.0,-20.0,100.8,610,241.0,20,82.4,áF,,,
-233.7,-17.7,102.5,620,239.9,20,84.8,áF,,,
-243.4,-15.4,104.6,630,239.2,20,87.1,áF,,,
-253.2,-13.0,103.4,640,238.9,20,89.5,áF,,,
-262.9,-10.7,102.4,650,239.0,20,88.1,áF,,,
-272.6,-8.4,103.8,660,239.6,20,85.7,áF,,,
-282.3,-6.1,102.2,670,240.5,20,83.3,áF,,,
-296.7,0.5,101.2,680,239.8,20,62.8,áF,,,
-303.0,8.3,103.0,690,235.4,20,65.0,áF,,,
-309.3,16.1,103.5,700,231.4,20,67.2,áF,,,
-315.6,23.8,102.3,710,227.7,20,69.5,áF,,,
-321.8,31.6,102.9,720,224.4,20,71.9,áF,,,
-328.1,39.4,100.1,730,221.5,20,74.4,áF,,,
-334.4,47.2,101.5,740,219.0,20,76.9,áF,,,
-340.7,55.0,101.2,750,216.9,20,79.5,áF,,,
-347.0,62.8,99.7,760,215.3,20,82.1,áF,,,
-391.4,-262.2,126.6,10,518.7,30,77.3,áG,,,
-381.5,-263.7,128.5,20,516.6,30,78.4,áG,,,
-371.6,-265.3,129.1,30,514.7,30,79.5,áG,,,
-361.8,-266.9,128.1,40,513.0,30,80.6,áG,,,
-351.9,-268.5,130.3,50,511.4,30,81.7,áG,,,
-342.0,-270.0,126.7,60,510.1,30,82.8,áG,,,
-332.1,-271.6,125.3,70,508.9,30,83.9,áG,,,
-322.3,-273.2,123.8,80,508.0,30,85.1,áG,,,
-312.4,-274.8,123.8,90,507.2,30,86.2,áG,,,
-302.5,-276.3,122.9,100,506.6,30,87.3,áG,,,
-292.6,-277.9,118.1,110,506.3,30,88.5,áG,,,
-277.5,-279.4,116.2,120,505.2,30,80.4,áG,,,
-267.5,-279.3,115.3,130,503.7,30,81.5,áG,,,
-257.5,-279.2,124.4,140,502.3,30,82.6,áG,,,
-247.5,-279.1,123.9,150,501.1,30,83.8,áG,,,
-237.5,-278.9,125.0,160,500.1,30,84.9,áG,,,
-227.5,-278.8,126.5,170,499.3,30,86.0,áG,,,
-217.5,-278.7,125.6,180,498.7,30,87.2,áG,,,
-207.7,-279.8,126.4,190,499.6,30,76.9,áG,,,
-198.0,-282.2,130.0,200,502.0,30,75.8,áG,,,
-188.3,-284.7,130.0,210,504.5,30,74.7,áG,,,
-178.6,-287.1,129.2,220,507.3,30,73.6,áG,,,
-168.9,-289.5,130.5,230,510.2,30,72.5,áG,,,
-159.2,-291.9,130.5,240,513.3,30,71.5,áG,,,
-149.5,-294.4,130.6,250,516.5,30,70.4,áG,,,
-139.8,-296.8,132.6,260,520.0,30,69.4,áG,,,
-130.1,-299.2,129.5,270,523.6,30,68.3,áG,,,
-120.4,-301.6,129.6,280,527.4,30,67.3,áG,,,
-110.7,-304.1,130.9,290,531.3,30,66.3,áG,,,
-101.0,-306.5,129.2,300,535.4,40,65.4,áG,,,
-91.3,-308.9,127.7,310,539.6,40,64.4,áG,,,
-81.6,-311.3,129.0,320,544.0,40,63.4,áG,,,
-71.9,-313.8,127.1,330,548.6,40,62.5,áG,,,
-62.2,-316.2,129.9,340,553.3,30,61.6,áG,,,
-52.5,-318.6,131.0,350,558.1,30,60.7,áG,,,
-42.8,-321.0,130.0,360,563.1,30,59.8,áG,,,
-33.1,-323.5,130.5,370,568.2,30,58.9,áG,,,
-23.4,-325.9,131.1,380,573.4,30,58.1,áG,,,
-13.7,-328.3,132.7,390,578.7,30,57.2,áG,,,
-4.0,-330.7,132.9,400,584.2,30,56.4,áG,,,
5.7,-333.2,132.7,410,589.8,30,55.6,áG,,,
15.4,-335.6,132.7,420,595.5,30,54.8,áG,,,
25.1,-338.0,132.0,430,601.3,30,54.0,áG,,,
34.8,-340.4,130.6,440,607.3,30,53.3,áG,,,
44.6,-342.9,133.8,450,613.3,30,52.5,áG,,,
54.3,-345.3,131.4,460,619.4,30,51.8,áG,,,
64.0,-347.7,132.4,470,625.7,30,51.1,áG,,,
73.7,-350.2,133.5,480,632.0,30,50.4,áG,,,
83.4,-352.6,132.5,490,638.4,30,49.7,áG,,,
93.1,-355.0,133.3,500,644.9,30,49.0,áG,,,
102.8,-357.4,131.7,510,651.5,30,48.3,áG,,,
112.5,-359.9,132.2,520,658.2,30,47.7,áG,,,
122.2,-362.3,132.5,530,665.0,30,47.0,áG,,,
131.9,-364.7,130.9,540,671.9,30,46.4,áG,,,
141.6,-367.1,132.6,550,678.8,30,45.8,áG,,,
151.3,-369.6,131.8,560,685.8,30,45.2,áG,,,
161.0,-372.0,131.9,570,692.9,30,44.6,áG,,,
170.7,-374.4,132.4,580,700.1,30,44.0,áG,,,
180.4,-376.8,132.7,590,707.3,30,43.5,áG,,,
190.1,-379.3,131.7,600,714.6,30,42.9,áG,,,
199.8,-381.7,130.9,610,721.9,30,42.4,áG,,,
209.5,-384.1,133.8,620,729.3,30,41.9,áG,,,
219.2,-386.5,132.2,630,736.8,30,41.3,áG,,,
228.9,-389.0,131.3,640,744.4,30,40.8,áG,,,
238.6,-391.4,133.5,650,751.9,30,40.3,áG,,,
248.3,-393.8,136.1,660,759.6,30,39.8,áG,,,
258.0,-396.2,133.5,670,767.3,30,39.4,áG,,,
267.7,-398.7,135.9,680,775.1,30,38.9,áG,,,
277.4,-401.1,133.2,690,782.9,30,38.4,áG,,,
287.1,-403.5,133.2,700,790.7,30,38.0,áG,,,
296.8,-405.9,134.1,710,798.6,30,37.5,áG,,,
306.5,-408.4,138.0,720,806.6,30,37.1,áG,,,
7.0,8.3,116.8,10,295.6,9,31.0,áH,,,
16.7,5.8,119.2,20,304.2,9,30.1,áH,,,
26.4,3.3,119.4,30,312.9,9,29.2,áH,,,
36.0,0.8,120.7,40,321.6,9,28.3,áH,,,
45.7,-1.8,117.9,50,330.5,9,27.5,áH,,,
55.4,-4.3,120.2,60,339.4,9,26.7,áH,,,
65.1,-6.8,118.6,70,348.3,9,25.9,áH,,,
74.7,-9.3,121.5,80,357.4,9,25.2,áH,,,
84.4,-11.9,122.7,90,366.4,9,24.6,áH,,,
94.1,-14.4,120.2,100,375.5,9,23.9,áH,,,
108.9,-20.1,121.1,110,390.7,9,2.6,áH,,,
117.1,-25.8,119.9,120,400.7,9,2.5,áH,,,
121.6,-26.8,120.1,130,404.9,4,24.0,áH,,,
131.3,-29.1,121.4,140,414.0,4,23.4,áH,,,
141.1,-31.5,122.9,150,423.2,4,22.9,áH,,,
150.8,-33.8,121.1,160,432.4,4,22.4,áH,,,
160.5,-36.1,121.2,170,441.7,4,21.9,áH,,,
170.2,-38.5,124.6,180,451.0,4,21.4,áH,,,
179.9,-40.8,121.4,190,460.3,4,20.9,áH,,,
189.7,-43.2,122.5,200,469.7,4,20.5,áH,,,
199.4,-45.5,127.1,210,479.1,4,20.1,áH,,,
209.1,-47.8,127.7,220,488.5,4,19.7,áH,,,
218.8,-50.2,129.0,230,497.9,4,19.3,áH,,,
228.5,-52.5,131.5,240,507.3,4,18.9,áH,,,
238.3,-54.9,131.4,250,516.8,4,18.6,áH,,,
