Å¶1Ç¬ÇÃåöï®ÇÃélã˜ÇÃç¿ïWÇé¶Ç∑ÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Å¶ínê}(ñkÇ™è„)Ç…ï`Ç©ÇÍÇƒÇ¢ÇÈåöï®ÇÃç∂è„Å®âEè„Å®ç∂â∫Å®âEâ∫ÇÃèáÇ≈élã˜ÇÃç¿ïWÇé¶Ç∑ÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Å¶xÇÕåöï®ÇÃélã˜ÇÃxç¿ïWÇÅAyÇÕåöï®ÇÃélã˜ÇÃyç¿ïWÇÅAÇàÇÕåöï®ÇÃçÇÇ≥Çé¶Ç∑ÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Å¶ç¿ïWÇÃå¥ì_ÇÕïΩòaí ÇËÇ∆èüéRí ÇËÇ™åÇÌÇÈãõí¨åç∑ì_ÇÃê^ÇÒíÜÇ≈Ç†ÇÈÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,x [m],y [m],h[m],,,x [m],y [m],h[m],,,x [m],y [m],h[m],,,x [m],y [m],h[m],,,x [m],y [m],h[m],âìï˚ÇÃçÇÇ¢ÉrÉã,,,,,,,,,,
,,,,,,,-268.8,43.8,27,,,-45.7,112.5,11,,,,,,,,525.5,231.3,28,,,,,,,,,,,
,,,,,,,-280.1,32.2,27,,,-64.8,91.2,11,,,,,,,,506.1,222.9,28,,,,,,,,,,,
,,,,,,,-270.7,30.8,27,,,-51.0,88.2,11,,,,,,,,521.0,220.0,28,,,,,,,,,,,
,,,,,,,-268.4,48.2,12,,,-46.5,105.8,24,,,,,,,,531.9,225.9,27,,,,,,,,,,,
,,,,,,,-263.4,47.2,12,,,-39.0,104.6,24,,,,,,,,554.3,222.9,27,,,,,,,,,,,
,,,,,,,-270.9,34.4,12,,,-50.0,88.0,24,,,,,,,,531.4,217.0,27,,,,,,,,,,,
,,,,,,,-266.4,33.4,12,,,-42.8,86.0,24,,,,,,,,553.3,209.5,27,,,,,,,,,,,
,,,,,,,-286.6,32.9,15,,,-37.8,104.3,12,,,,,,,,558.6,258.6,30,,,,,,,,,,,
,,,,,,,-270.2,29.8,15,,,-28.1,102.1,12,,,,,,,,582.9,257.1,30,,,,,,,,,,,
,,,,,,,-290.4,11.7,15,,,-41.8,85.7,12,,,,,,,,558.6,242.8,30,,,,,,,,,,,
,,,,,,,-273.7,7.6,15,,,-32.4,84.0,12,,,,,,,,582.4,241.3,30,,,,,,,,,,,
,,,,,,,-270.6,18.4,18,,,-27.6,101.8,30,,,,,,,,570.0,235.4,34,,,,,,,,,,,
,,,,,,,-262.3,16.7,18,,,-21.7,101.1,30,,,,,,,,579.9,233.4,34,,,,,,,,,,,
,,,,,,,-272.7,6.6,18,,,-31.6,84.0,30,,,,,,,,569.0,216.6,34,,,,,,,,,,,
,,,,,,,-264.5,5.5,18,,,-25.2,82.7,30,,,,,,,,579.9,215.6,34,,,,,,,,,,,
,,,,,,,-255.3,48.1,8,,,,,,,,,,,,,473.1,202.0,25,,,,,,,,,,,
,,,,,,,-230.1,43.8,8,,,,,,,,,,,,,498.2,194.8,25,,,,,,,,,,,
,,,,,,,-260.6,19.2,8,,,,,,,,,,,,,467.9,188.4,25,,,,,,,,,,,
,,,,,,,-235.9,14.1,8,,,,,,,,,,,,,494.2,180.0,25,,,,,,,,,,,
,,,,,,,-228.4,43.3,15,,,,,,,,,,,,,474.9,184.4,25,,,,,,,,,,,
,,,,,,,-222.4,42.4,15,,,,,,,,,,,,,487.8,181.9,25,,,,,,,,,,,
,,,,,,,-234.2,14.4,15,,,,,,,,,,,,,472.4,179.0,25,,,,,,,,,,,
,,,,,,,-227.4,12.9,15,,,,,,,,,,,,,485.3,175.5,25,,,,,,,,,,,
,,,,,,,-260.3,17.7,22,,,,,,,,,,,,,520.0,183.4,35,,,,,,,,,,,
,,,,,,,-233.7,11.6,22,,,,,,,,,,,,,524.5,183.4,35,,,,,,,,,,,
,,,,,,,-262.5,4.0,22,,,,,,,,,,,,,520.5,177.5,35,,,,,,,,,,,
,,,,,,,-236.2,-0.7,22,,,,,,,,,,,,,525.0,177.9,35,,,,,,,,,,,
,,,,,,,-233.7,11.6,22,,,,,,,,,,,,,515.5,173.5,28,,,,,,,,,,,
,,,,,,,-229.2,10.2,22,,,,,,,,,,,,,523.5,173.0,28,,,,,,,,,,,
,,,,,,,-236.2,-0.7,22,,,,,,,,,,,,,514.0,166.6,28,,,,,,,,,,,
,,,,,,,-231.2,1.3,22,,,,,,,,,,,,,523.0,165.1,28,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,514.0,166.6,40,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,523.0,165.1,40,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,513.5,148.3,40,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,521.5,147.3,40,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,540.3,136.4,15,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,547.3,136.9,15,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,540.3,130.5,15,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,546.7,128.5,15,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,552.2,147.3,25,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,573.6,145.8,25,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,552.2,134.9,25,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,573.6,133.4,25,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
